2020-06-19 14:46:56,No Order Selected,1
2020-06-19 14:47:43,French Vanilla,1
2020-06-19 14:47:44,French Vanilla,2
2020-06-19 14:47:44,French Vanilla,3
2020-06-19 14:47:44,French Vanilla,4
2020-06-19 14:47:44,French Vanilla,5
2020-06-19 14:47:45,French Vanilla,6
2020-06-19 14:47:45,French Vanilla,7
2020-06-19 14:47:45,French Vanilla,8
2020-06-19 14:47:45,French Vanilla,9
2020-06-19 14:47:46,French Vanilla,10
2020-06-19 14:47:46,French Vanilla,11
2020-06-19 14:47:46,French Vanilla,12
2020-06-19 14:47:46,French Vanilla,13
2020-06-19 14:47:47,French Vanilla,14
2020-06-19 14:47:47,French Vanilla,15
2020-06-19 14:47:47,French Vanilla,16
2020-06-19 14:47:48,French Vanilla,17
2020-06-19 14:47:48,French Vanilla,18
2020-06-19 14:47:49,French Vanilla,19
2020-06-19 14:47:49,French Vanilla,20
2020-06-19 14:47:49,French Vanilla,21
2020-06-19 14:47:49,French Vanilla,22
2020-06-19 14:47:50,French Vanilla,23
2020-06-19 14:49:55,Kenya AA - Medium Roast,1
2020-06-19 14:49:56,Kenya AA - Medium Roast,2
2020-06-19 14:49:56,Kenya AA - Medium Roast,3
2020-06-19 14:49:56,Kenya AA - Medium Roast,4
2020-06-19 14:49:56,Kenya AA - Medium Roast,5
2020-06-19 14:49:57,Kenya AA - Medium Roast,6
2020-06-19 14:49:57,Kenya AA - Medium Roast,7
2020-06-19 14:49:57,Kenya AA - Medium Roast,8
2020-06-19 14:49:57,Kenya AA - Medium Roast,9
2020-06-19 14:49:57,Kenya AA - Medium Roast,10
2020-06-19 14:49:58,Kenya AA - Medium Roast,11
2020-06-19 14:49:58,Kenya AA - Medium Roast,12
2020-06-19 14:49:58,Kenya AA - Medium Roast,13
2020-06-19 14:49:58,Kenya AA - Medium Roast,14
2020-06-19 14:49:58,Kenya AA - Medium Roast,15
2020-06-19 14:49:59,Kenya AA - Medium Roast,16
2020-06-19 14:49:59,Kenya AA - Medium Roast,17
2020-06-19 14:49:59,Kenya AA - Medium Roast,18
2020-06-19 14:49:59,Kenya AA - Medium Roast,19
2020-06-19 14:49:59,Kenya AA - Medium Roast,20
2020-06-19 14:50:00,Kenya AA - Medium Roast,21
2020-06-19 14:50:00,Kenya AA - Medium Roast,22
2020-06-19 14:51:56,No Order Selected,1
2020-06-19 14:51:56,No Order Selected,2
2020-06-19 14:51:57,No Order Selected,3
2020-06-19 14:51:57,No Order Selected,4
2020-06-19 14:51:57,No Order Selected,5
2020-06-19 14:51:57,No Order Selected,6
2020-06-19 14:51:57,No Order Selected,7
2020-06-19 14:51:58,No Order Selected,8
2020-06-19 14:51:59,No Order Selected,9
2020-06-19 14:51:59,No Order Selected,10
2020-06-19 14:52:00,No Order Selected,11
2020-06-19 14:52:00,No Order Selected,12
2020-06-19 14:52:00,No Order Selected,13
2020-06-19 14:52:00,No Order Selected,14
2020-06-19 14:52:01,No Order Selected,15
2020-06-19 14:52:01,No Order Selected,16
2020-06-19 14:52:01,No Order Selected,17
2020-06-19 14:52:01,No Order Selected,18
2020-06-19 14:52:01,No Order Selected,19
2020-06-19 14:52:02,No Order Selected,20
2020-06-19 14:52:02,No Order Selected,21
2020-06-19 14:52:02,No Order Selected,22
2020-06-19 14:52:02,No Order Selected,23
2020-06-19 14:52:02,No Order Selected,24
2020-06-19 14:52:03,No Order Selected,25
2020-06-19 14:52:03,No Order Selected,26
2020-06-19 14:52:03,No Order Selected,27
2020-06-19 14:52:03,No Order Selected,28
